NAME,TIME,UNDERNOURISHED
CHN,2015,0
CHN,2016,0
CHN,2017,0
CHN,2018,0
CHN,2019,0
CHN,2020,0
CHN,2021,0
TWN,2014,1
TWN,2015,1
TWN,2016,1
TWN,2017,1
TWN,2018,0.9
TWN,2019,0.9
TWN,2020,0.8
TWN,2021,0.7
COL,2014,2.7
COL,2015,2.3
COL,2016,2.1
COL,2017,2.1
COL,2018,2.3
COL,2019,2.7
COL,2020,3.2
COL,2021,3.4
COM,2014,0.1
COM,2015,0.1
COM,2016,0.1
COM,2017,0.1
COM,2018,0.1
COM,2019,0.1
COM,2020,0.1
COM,2021,0.1
COG,2014,1.4
COG,2015,1.4
COG,2016,1.5
COG,2017,1.6
COG,2018,1.7
COG,2019,1.7
COG,2020,1.8
COG,2021,1.9
COK,2014,0
COK,2015,0
COK,2016,0
COK,2017,0
COK,2018,0
COK,2019,0
COK,2020,0
COK,2021,0
CRI,2014,0.2
CRI,2015,0.2
CRI,2016,0.2
CRI,2017,0.2
CRI,2018,0.2
CRI,2019,0.2
CRI,2020,0.2
CRI,2021,0.2
CIV,2014,2.9
CIV,2015,2.8
CIV,2016,2.6
CIV,2017,2.4
CIV,2018,2.3
CIV,2019,2.2
CIV,2020,2.1
CIV,2021,2.1
HRV,2014,0
HRV,2015,0
HRV,2016,0
HRV,2017,0
HRV,2018,0
HRV,2019,0
HRV,2020,0
HRV,2021,0
CUB,2014,0
CUB,2015,0
CUB,2016,0
CUB,2017,0
CUB,2018,0
CUB,2019,0
CUB,2020,0
CUB,2021,0
CYP,2014,0
CYP,2015,0
CYP,2016,0
CYP,2017,0
CYP,2018,0
CYP,2019,0
CYP,2020,0
CYP,2021,0
CZE,2014,0
CZE,2015,0
CZE,2016,0
CZE,2017,0
CZE,2018,0
CZE,2019,0
CZE,2020,0
CZE,2021,0
PRK,2014,10
PRK,2015,10.2
PRK,2016,10.5
PRK,2017,11
PRK,2018,10.9
PRK,2019,11.2
PRK,2020,11.4
PRK,2021,11.8
COD,2014,22.5
COD,2015,23.8
COD,2016,25.1
COD,2017,26.3
COD,2018,27
COD,2019,29.2
COD,2020,31.4
COD,2021,33.8
DNK,2014,0
DNK,2015,0
DNK,2016,0
DNK,2017,0
DNK,2018,0
DNK,2019,0
DNK,2020,0
DNK,2021,0
DJI,2014,0.2
DJI,2015,0.2
DJI,2016,0.2
DJI,2017,0.2
DJI,2018,0.2
DJI,2019,0.2
DJI,2020,0.2
DJI,2021,0.2
DMA,2014,0.05
DMA,2015,0.05
DMA,2016,0.05
DMA,2017,0.05
DMA,2018,0.05
DMA,2019,0.05
DMA,2020,0.05
DMA,2021,0.05
DOM,2014,0.9
DOM,2015,0.8
DOM,2016,0.7
DOM,2017,0.6
DOM,2018,0.6
DOM,2019,0.7
DOM,2020,0.7
DOM,2021,0.7
ECU,2014,1.4
ECU,2015,1.5
ECU,2016,1.6
ECU,2017,1.8
ECU,2018,2
ECU,2019,2.3
ECU,2020,2.5
ECU,2021,2.5
EGY,2014,5.3
EGY,2015,5.7
EGY,2016,6
EGY,2017,6.5
EGY,2018,6.6
EGY,2019,6.6
EGY,2020,6.9
EGY,2021,7.8
SLV,2014,0.6
SLV,2015,0.6
SLV,2016,0.6
SLV,2017,0.5
SLV,2018,0.4
SLV,2019,0.5
SLV,2020,0.4
SLV,2021,0.5
GNQ,2014,0
GNQ,2015,0
GNQ,2016,0
GNQ,2017,0
GNQ,2018,0
GNQ,2019,0
GNQ,2020,0
GNQ,2021,0
ERI,2014,0
ERI,2015,0
ERI,2016,0
ERI,2017,0
ERI,2018,0
ERI,2019,0
ERI,2020,0
ERI,2021,0
EST,2014,0
EST,2015,0
EST,2016,0
EST,2017,0
EST,2018,0
EST,2019,0
EST,2020,0
EST,2021,0
SWZ,2014,0.2
SWZ,2015,0.2
SWZ,2016,0.2
SWZ,2017,0.2
SWZ,2018,0.2
SWZ,2019,0.1
SWZ,2020,0.1
SWZ,2021,0.1
ETH,2014,15.5
ETH,2015,14.8
ETH,2016,14.9
ETH,2017,16.8
ETH,2018,20
ETH,2019,23.7
ETH,2020,26.2
ETH,2021,26.4
FJI,2014,0.05
FJI,2015,0.05
FJI,2016,0.05
FJI,2017,0.05
FJI,2018,0.05
FJI,2019,0.05
FJI,2020,0.05
FJI,2021,0.05
FIN,2014,0
FIN,2015,0
FIN,2016,0
FIN,2017,0
FIN,2018,0
FIN,2019,0
FIN,2020,0
FIN,2021,0
FRA,2014,0
FRA,2015,0
FRA,2016,0
FRA,2017,0
FRA,2018,0
FRA,2019,0
FRA,2020,0
FRA,2021,0
PYF,2014,0.05
PYF,2015,0.05
PYF,2016,0.05
PYF,2017,0.05
PYF,2018,0.05
PYF,2019,0.05
PYF,2020,0.05
PYF,2021,0.05
GAB,2014,0.3
GAB,2015,0.3
GAB,2016,0.4
GAB,2017,0.4
GAB,2018,0.4
GAB,2019,0.5
GAB,2020,0.5
GAB,2021,0.5
GMB,2014,0.3
GMB,2015,0.4
GMB,2016,0.4
GMB,2017,0.4
GMB,2018,0.4
GMB,2019,0.5
GMB,2020,0.5
GMB,2021,0.5
GEO,2014,0.1
GEO,2015,0.1
GEO,2016,0.1
GEO,2017,0.1
GEO,2018,0.1
GEO,2019,0.1
GEO,2020,0.1
GEO,2021,0.1
DEU,2014,0
DEU,2015,0
DEU,2016,0
DEU,2017,0
DEU,2018,0
DEU,2019,0
DEU,2020,0
DEU,2021,0
GHA,2014,2.1
GHA,2015,2.4
GHA,2016,2.4
GHA,2017,2.3
GHA,2018,2
GHA,2019,1.8
GHA,2020,1.6
GHA,2021,1.6
GRC,2014,0
GRC,2015,0
GRC,2016,0
GRC,2017,0
GRC,2018,0
GRC,2019,0
GRC,2020,0
GRC,2021,0
GRL,2014,0
GRL,2015,0
GRL,2016,0
GRL,2017,0
GRL,2018,0
GRL,2019,0
GRL,2020,0
GRL,2021,0
GRD,2014,0
GRD,2015,0
GRD,2016,0
GRD,2017,0
GRD,2018,0
GRD,2019,0
GRD,2020,0
GRD,2021,0
GTM,2014,2.5
GTM,2015,2.5
GTM,2016,2.4
GTM,2017,2.4
GTM,2018,2.4
GTM,2019,2.4
GTM,2020,2.4
GTM,2021,2.3
GIN,2014,1.5
GIN,2015,1.5
GIN,2016,1.6
GIN,2017,1.6
GIN,2018,1.6
GIN,2019,1.6
GIN,2020,1.6
GIN,2021,1.8
GNB,2014,0.6
GNB,2015,0.6
GNB,2016,0.6
GNB,2017,0.6
GNB,2018,0.6
GNB,2019,0.7
GNB,2020,0.7
GNB,2021,0.8
GUY,2014,0.05
GUY,2015,0.05
GUY,2016,0.05
GUY,2017,0.05
GUY,2018,0.05
GUY,2019,0.05
GUY,2020,0.05
GUY,2021,0
HTI,2014,4
HTI,2015,4.1
HTI,2016,4.2
HTI,2017,4.5
HTI,2018,4.6
HTI,2019,4.9
HTI,2020,4.9
HTI,2021,5.1
HND,2014,1.4
HND,2015,1.4
HND,2016,1.4
HND,2017,1.4
HND,2018,1.4
HND,2019,1.4
HND,2020,1.6
HND,2021,1.9
HUN,2014,0
HUN,2015,0
HUN,2016,0
HUN,2017,0
HUN,2018,0
HUN,2019,0
HUN,2020,0
HUN,2021,0
ISL,2014,0
ISL,2015,0
ISL,2016,0
ISL,2017,0
ISL,2018,0
ISL,2019,0
ISL,2020,0
ISL,2021,0
IND,2014,188.3
IND,2015,185.9
IND,2016,181.1
IND,2017,174.3
IND,2018,179.4
IND,2019,199.7
IND,2020,222.1
IND,2021,233.9
IDN,2014,20.4
IDN,2015,18.9
IDN,2016,17.5
IDN,2017,15.9
IDN,2018,15.7
IDN,2019,16.3
IDN,2020,16.5
IDN,2021,16.2
IRN,2014,5
IRN,2015,5.2
IRN,2016,5.7
IRN,2017,6.1
IRN,2018,6.2
IRN,2019,6
IRN,2020,5.4
IRN,2021,5.3
IRQ,2014,6.2
IRQ,2015,6.5
IRQ,2016,6.8
IRQ,2017,6.9
IRQ,2018,7
IRQ,2019,7
IRQ,2020,7
IRQ,2021,7.1
IRL,2014,0
IRL,2015,0
IRL,2016,0
IRL,2017,0
IRL,2018,0
IRL,2019,0
IRL,2020,0
IRL,2021,0
ISR,2014,0
ISR,2015,0
ISR,2016,0
ISR,2017,0
ISR,2018,0
ISR,2019,0
ISR,2020,0
ISR,2021,0
ITA,2014,0
ITA,2015,0
ITA,2016,0
ITA,2017,0
ITA,2018,0
ITA,2019,0
ITA,2020,0
ITA,2021,0
JAM,2014,0.2
JAM,2015,0.2
JAM,2016,0.2
JAM,2017,0.2
JAM,2018,0.2
JAM,2019,0.2
JAM,2020,0.2
JAM,2021,0.2
JPN,2014,0
JPN,2015,0
JPN,2016,0
JPN,2017,0
JPN,2018,0
JPN,2019,0
JPN,2020,3.3
JPN,2021,4
JOR,2014,0
JOR,2015,0
JOR,2016,0
JOR,2017,0
JOR,2018,0
JOR,2019,0
JOR,2020,0
JOR,2021,0
KAZ,2014,0
KAZ,2015,0
KAZ,2016,0
KAZ,2017,0
KAZ,2018,0
KAZ,2019,0
KAZ,2020,0
KAZ,2021,0
KEN,2014,8.4
KEN,2015,9.4
KEN,2016,10.3
KEN,2017,11.2
KEN,2018,11.1
KEN,2019,11.7
KEN,2020,12.8
KEN,2021,14.7
KIR,2014,0.05
KIR,2015,0.05
KIR,2016,0.05
KIR,2017,0.05
KIR,2018,0.05
KIR,2019,0.05
KIR,2020,0.05
KIR,2021,0.05
KWT,2014,0
KWT,2015,0
KWT,2016,0
KWT,2017,0
KWT,2018,0.1
KWT,2019,0.1
KWT,2020,0
KWT,2021,0
KGZ,2014,0.3
KGZ,2015,0.3
KGZ,2016,0.3
KGZ,2017,0.3
KGZ,2018,0.3
KGZ,2019,0.3
KGZ,2020,0.3
KGZ,2021,0.3
LAO,2014,0.5
LAO,2015,0.5
LAO,2016,0.4
LAO,2017,0.4
LAO,2018,0.4
LAO,2019,0.4
LAO,2020,0.4
LAO,2021,0.4
LVA,2014,0
LVA,2015,0
LVA,2016,0
LVA,2017,0
LVA,2018,0
LVA,2019,0
LVA,2020,0
LVA,2021,0
LBN,2014,0
LBN,2015,0
LBN,2016,0
LBN,2017,0
LBN,2018,0
LBN,2019,0
LBN,2020,0
LBN,2021,0
LSO,2014,0.6
LSO,2015,0.7
LSO,2016,0.7
LSO,2017,0.7
LSO,2018,0.7
LSO,2019,0.8
LSO,2020,1
LSO,2021,1
LBR,2014,1.7
LBR,2015,1.7
LBR,2016,1.7
LBR,2017,1.7
LBR,2018,1.7
LBR,2019,1.8
LBR,2020,1.9
LBR,2021,2
LBY,2014,0.3
LBY,2015,0.4
LBY,2016,0.4
LBY,2017,0.4
LBY,2018,0.5
LBY,2019,0.5
LBY,2020,0.5
LBY,2021,0.6
LTU,2014,0
LTU,2015,0
LTU,2016,0
LTU,2017,0
LTU,2018,0
LTU,2019,0
LTU,2020,0
LTU,2021,0
LUX,2014,0
LUX,2015,0
LUX,2016,0
LUX,2017,0
LUX,2018,0
LUX,2019,0
LUX,2020,0
LUX,2021,0
MDG,2014,9.1
MDG,2015,10
MDG,2016,10.7
MDG,2017,11.2
MDG,2018,12
MDG,2019,13
MDG,2020,14
MDG,2021,14.8
MWI,2014,2.2
MWI,2015,2.4
MWI,2016,2.5
MWI,2017,2.7
MWI,2018,2.9
MWI,2019,3.1
MWI,2020,3.3
MWI,2021,3.5
MYS,2014,1.8
MYS,2015,1.9
MYS,2016,1.8
MYS,2017,1.7
MYS,2018,1.4
MYS,2019,1.2
MYS,2020,1.1
MYS,2021,0.9
MDV,2014,0
MDV,2015,0
MDV,2016,0
MDV,2017,0
MDV,2018,0
MDV,2019,0
MDV,2020,0
MDV,2021,0
MLI,2014,0.8
MLI,2015,0.8
MLI,2016,0.7
MLI,2017,0.8
MLI,2018,0.9
MLI,2019,1.4
MLI,2020,2.1
MLI,2021,2.8
MLT,2014,0
MLT,2015,0
MLT,2016,0
MLT,2017,0
MLT,2018,0
MLT,2019,0.05
MLT,2020,0.05
MLT,2021,0.05
MHL,2014,0
MHL,2015,0
MHL,2016,0
MHL,2017,0
MHL,2018,0
MHL,2019,0
MHL,2020,0
MHL,2021,0
MRT,2014,0.3
MRT,2015,0.3
MRT,2016,0.3
MRT,2017,0.3
MRT,2018,0.3
MRT,2019,0.3
MRT,2020,0.3
MRT,2021,0.4
MUS,2014,0.05
MUS,2015,0.05
MUS,2016,0.05
MUS,2017,0.05
MUS,2018,0.05
MUS,2019,0.05
MUS,2020,0.05
MUS,2021,0.05
MEX,2014,4.8
MEX,2015,4.7
MEX,2016,4.7
MEX,2017,4.7
MEX,2018,4.2
MEX,2019,3.5
MEX,2020,0
MEX,2021,0
FSM,2014,0
FSM,2015,0
FSM,2016,0
FSM,2017,0
FSM,2018,0
FSM,2019,0
FSM,2020,0
FSM,2021,0
MNG,2014,0.3
MNG,2015,0.2
MNG,2016,0.2
MNG,2017,0.2
MNG,2018,0.2
MNG,2019,0.2
MNG,2020,0.2
MNG,2021,0.3
MNE,2014,0
MNE,2015,0
MNE,2016,0
MNE,2017,0
MNE,2018,0
MNE,2019,0
MNE,2020,0
MNE,2021,0
MAR,2014,1.4
MAR,2015,1.3
MAR,2016,1.3
MAR,2017,1.3
MAR,2018,1.3
MAR,2019,1.5
MAR,2020,2
MAR,2021,2.3
MOZ,2014,8.1
MOZ,2015,10.6
MOZ,2016,11.3
MOZ,2017,10.1
MOZ,2018,8.7
MOZ,2019,8.2
MOZ,2020,9.2
MOZ,2021,9.8
MMR,2014,2.5
MMR,2015,2.1
MMR,2016,1.8
MMR,2017,1.6
MMR,2018,1.6
MMR,2019,1.5
MMR,2020,1.8
MMR,2021,2.1
NAM,2014,0.5
NAM,2015,0.5
NAM,2016,0.4
NAM,2017,0.4
NAM,2018,0.4
NAM,2019,0.4
NAM,2020,0.4
NAM,2021,0.4
NRU,2014,0
NRU,2015,0
NRU,2016,0
NRU,2017,0
NRU,2018,0
NRU,2019,0
NRU,2020,0
NRU,2021,0
NPL,2014,2
NPL,2015,1.7
NPL,2016,1.5
NPL,2017,1.4
NPL,2018,1.3
NPL,2019,1.4
NPL,2020,1.5
NPL,2021,1.6
NLD,2014,0
NLD,2015,0
NLD,2016,0
NLD,2017,0
NLD,2018,0
NLD,2019,0
NLD,2020,0
NLD,2021,0
NCL,2014,0.05
NCL,2015,0.05
NCL,2016,0.05
NCL,2017,0.05
NCL,2018,0.05
NCL,2019,0.05
NCL,2020,0.05
NCL,2021,0.05
NZL,2014,0
NZL,2015,0
NZL,2016,0
NZL,2017,0
NZL,2018,0
NZL,2019,0
NZL,2020,0
NZL,2021,0
NIC,2014,1.2
NIC,2015,1.2
NIC,2016,1.2
NIC,2017,1.1
NIC,2018,1.1
NIC,2019,1.2
NIC,2020,1.2
NIC,2021,1.2
NER,2014,2.6
NER,2015,2.5
NER,2016,2.5
NER,2017,2.4
NER,2018,2.5
NER,2019,2.8
NER,2020,3.5
NER,2021,4.1
NGA,2014,17.1
NGA,2015,17.1
NGA,2016,18
NGA,2017,19.6
NGA,2018,21
NGA,2019,25.2
NGA,2020,29.6
NGA,2021,34
NIU,2014,0
NIU,2015,0
NIU,2016,0
NIU,2017,0
NIU,2018,0
NIU,2019,0
NIU,2020,0
NIU,2021,0
MKD,2014,0.05
MKD,2015,0.05
MKD,2016,0.05
MKD,2017,0.05
MKD,2018,0.05
MKD,2019,0.05
MKD,2020,0.05
MKD,2021,0.05
NOR,2014,0
NOR,2015,0
NOR,2016,0
NOR,2017,0
NOR,2018,0
NOR,2019,0
NOR,2020,0
NOR,2021,0
OMN,2014,0.2
OMN,2015,0.3
OMN,2016,0.3
OMN,2017,0.3
OMN,2018,0.2
OMN,2019,0.1
OMN,2020,0.1
OMN,2021,0.1
PAK,2014,27.7
PAK,2015,25.6
PAK,2016,24.6
PAK,2017,23.4
PAK,2018,24.2
PAK,2019,29.2
PAK,2020,36.3
PAK,2021,42.8
PLW,2014,0
PLW,2015,0
PLW,2016,0
PLW,2017,0
PLW,2018,0
PLW,2019,0
PLW,2020,0
PLW,2021,0
PSE,2014,0
PSE,2015,0
PSE,2016,0
PSE,2017,0
PSE,2018,0
PSE,2019,0
PSE,2020,0
PSE,2021,0
PAN,2014,0.3
PAN,2015,0.3
PAN,2016,0.3
PAN,2017,0.2
PAN,2018,0.2
PAN,2019,0.2
PAN,2020,0.2
PAN,2021,0.2
PNG,2014,1.9
PNG,2015,2
PNG,2016,2
PNG,2017,2.1
PNG,2018,2.2
PNG,2019,2.2
PNG,2020,2.2
PNG,2021,2.3
PRY,2014,0
PRY,2015,0.2
PRY,2016,0.2
PRY,2017,0.2
PRY,2018,0.2
PRY,2019,0.2
PRY,2020,0.2
PRY,2021,0.3
PER,2014,1.6
PER,2015,1.7
PER,2016,1.9
PER,2017,2
PER,2018,1.9
PER,2019,2
PER,2020,2.2
PER,2021,2.4
PHL,2014,10.6
PHL,2015,9.4
PHL,2016,8.2
PHL,2017,6.9
PHL,2018,5.8
PHL,2019,5.5
PHL,2020,5.7
PHL,2021,5.9
POL,2014,0
POL,2015,0
POL,2016,0
POL,2017,0
POL,2018,0
POL,2019,0
POL,2020,0
POL,2021,0
PRT,2014,0
PRT,2015,0
PRT,2016,0
PRT,2017,0
PRT,2018,0
PRT,2019,0
PRT,2020,0
PRT,2021,0
PRI,2014,0
PRI,2015,0
PRI,2016,0
PRI,2017,0
PRI,2018,0
PRI,2019,0
PRI,2020,0
PRI,2021,0
QAT,2014,0
QAT,2015,0
QAT,2016,0
QAT,2017,0
QAT,2018,0
QAT,2019,0
QAT,2020,0
QAT,2021,0
KOR,2014,0
KOR,2015,0
KOR,2016,0
KOR,2017,0
KOR,2018,0
KOR,2019,0
KOR,2020,0
KOR,2021,0
MDA,2014,0
MDA,2015,0
MDA,2016,0
MDA,2017,0
MDA,2018,0
MDA,2019,0
MDA,2020,0
MDA,2021,0
ROU,2014,0
ROU,2015,0
ROU,2016,0
ROU,2017,0
ROU,2018,0
ROU,2019,0
ROU,2020,0
ROU,2021,0
RUS,2014,0
RUS,2015,0
RUS,2016,0
RUS,2017,0
RUS,2018,0
RUS,2019,0
RUS,2020,0
RUS,2021,0
RWA,2014,3.8
RWA,2015,3.8
RWA,2016,3.8
RWA,2017,3.8
RWA,2018,4
RWA,2019,4.2
RWA,2020,4.3
RWA,2021,4.3
KNA,2014,0
KNA,2015,0
KNA,2016,0
KNA,2017,0
KNA,2018,0
KNA,2019,0
KNA,2020,0
KNA,2021,0
LCA,2014,0
LCA,2015,0
LCA,2016,0
LCA,2017,0
LCA,2018,0
LCA,2019,0
LCA,2020,0
LCA,2021,0
VCT,2014,0.05
VCT,2015,0.05
VCT,2016,0.05
VCT,2017,0.05
VCT,2018,0.05
VCT,2019,0.05
VCT,2020,0.05
VCT,2021,0.05
WSM,2014,0.05
WSM,2015,0.05
WSM,2016,0.05
WSM,2017,0.05
WSM,2018,0.05
WSM,2019,0.05
WSM,2020,0.05
WSM,2021,0.05
STP,2014,0.05
STP,2015,0.05
STP,2016,0.05
STP,2017,0.05
STP,2018,0.05
STP,2019,0.05
STP,2020,0.05
STP,2021,0.05
SAU,2014,1.8
SAU,2015,1.5
SAU,2016,1.5
SAU,2017,1.5
SAU,2018,1.6
SAU,2019,1.6
SAU,2020,1.5
SAU,2021,1.4
SEN,2014,1.5
SEN,2015,1.4
SEN,2016,1.2
SEN,2017,1.1
SEN,2018,1
SEN,2019,1
SEN,2020,1
SEN,2021,1
SRB,2014,0
SRB,2015,0
SRB,2016,0
SRB,2017,0
SRB,2018,0
SRB,2019,0
SRB,2020,0
SRB,2021,0
SYC,2014,0.05
SYC,2015,0.05
SYC,2016,0.05
SYC,2017,0.05
SYC,2018,0.05
SYC,2019,0.05
SYC,2020,0.05
SYC,2021,0.05
SLE,2014,1.6
SLE,2015,1.7
SLE,2016,1.8
SLE,2017,2
SLE,2018,2.1
SLE,2019,2.2
SLE,2020,2.2
SLE,2021,2.3
SGP,2014,0
SGP,2015,0
SGP,2016,0
SGP,2017,0
SGP,2018,0
SGP,2019,0
SGP,2020,0
SGP,2021,0
SVK,2014,0.3
SVK,2015,0.3
SVK,2016,0.3
SVK,2017,0.2
SVK,2018,0.2
SVK,2019,0.1
SVK,2020,0
SVK,2021,0.2
SVN,2014,0
SVN,2015,0
SVN,2016,0
SVN,2017,0
SVN,2018,0
SVN,2019,0
SVN,2020,0
SVN,2021,0
SLB,2014,0.1
SLB,2015,0.1
SLB,2016,0.1
SLB,2017,0.1
SLB,2018,0.1
SLB,2019,0.1
SLB,2020,0.1
SLB,2021,0.1
SOM,2014,7.8
SOM,2015,8
SOM,2016,8.3
SOM,2017,8.4
SOM,2018,8.3
SOM,2019,8.3
SOM,2020,8.3
SOM,2021,8.3
ZAF,2014,3.4
ZAF,2015,3.6
ZAF,2016,3.5
ZAF,2017,3.2
ZAF,2018,3.2
ZAF,2019,3.6
ZAF,2020,4
ZAF,2021,4.7
SSD,2014,0
SSD,2015,0
SSD,2016,0
SSD,2017,0
SSD,2018,0
SSD,2020,2.2
SSD,2021,2.3
ESP,2014,0
ESP,2015,0
ESP,2016,0
ESP,2017,0
ESP,2018,0
ESP,2019,0
ESP,2020,0
ESP,2021,0
LKA,2014,2.2
LKA,2015,1.9
LKA,2016,1.7
LKA,2017,1.6
LKA,2018,1.5
LKA,2019,1.4
LKA,2020,1.2
LKA,2021,1.1
