NAME,TIME,STABILITY
CPV,2018,0.85
CPV,2019,0.87
CPV,2020,0.89
CPV,2021,0.9
KHM,2014,0.02
KHM,2015,0.06
KHM,2016,0.21
KHM,2017,0.09
KHM,2018,0.1
KHM,2019,-0.09
KHM,2020,-0.23
KHM,2021,-0.13
CMR,2014,-1.06
CMR,2015,-0.99
CMR,2016,-1.06
CMR,2017,-1.1
CMR,2018,-1.4
CMR,2019,-1.56
CMR,2020,-1.5
CMR,2021,-1.41
CAN,2014,1.18
CAN,2015,1.27
CAN,2016,1.26
CAN,2017,1.1
CAN,2018,0.98
CAN,2019,1.02
CAN,2020,1.03
CAN,2021,0.94
CAF,2014,-2.7
CAF,2015,-1.9
CAF,2016,-1.79
CAF,2017,-2.01
CAF,2018,-2.18
CAF,2019,-2.14
CAF,2020,-2.23
CAF,2021,-2.1
TCD,2014,-1.57
TCD,2015,-0.97
TCD,2016,-1.3
TCD,2017,-1.29
TCD,2018,-1.48
TCD,2019,-1.34
TCD,2020,-1.25
TCD,2021,-1.34
CHL,2014,0.45
CHL,2015,0.43
CHL,2016,0.41
CHL,2017,0.42
CHL,2018,0.43
CHL,2019,0.01
CHL,2020,0.07
CHL,2021,0.06
HKG,2014,1.15
HKG,2015,1.05
HKG,2016,0.75
HKG,2017,0.83
HKG,2018,0.78
HKG,2019,-0.22
HKG,2020,0.09
HKG,2021,0.26
MAC,2014,1.21
MAC,2015,1.2
MAC,2016,1.42
MAC,2017,1.43
MAC,2018,1.25
MAC,2019,1.24
MAC,2020,1.15
MAC,2021,1.05
COL,2014,-1.11
COL,2015,-1.07
COL,2016,-0.88
COL,2017,-0.77
COL,2018,-0.8
COL,2019,-0.95
COL,2020,-0.66
COL,2021,-0.91
COM,2014,-0.19
COM,2015,-0.23
COM,2016,0.04
COM,2017,0.04
COM,2018,-0.35
COM,2019,-0.15
COM,2020,-0.27
COM,2021,-0.23
COG,2014,-0.36
COG,2015,-0.53
COG,2016,-0.52
COG,2017,-0.53
COG,2018,-0.35
COG,2019,-0.9
COG,2020,-0.81
COG,2021,-0.61
CRI,2014,0.58
CRI,2015,0.68
CRI,2016,0.66
CRI,2017,0.61
CRI,2018,0.47
CRI,2019,0.45
CRI,2020,0.77
CRI,2021,0.87
CIV,2014,-1.04
CIV,2015,-0.83
CIV,2016,-0.91
CIV,2017,-1.09
CIV,2018,-0.9
CIV,2019,-1.03
CIV,2020,-1.03
CIV,2021,-0.95
HRV,2014,0.62
HRV,2015,0.59
HRV,2016,0.66
HRV,2017,0.69
HRV,2018,0.8
HRV,2019,0.69
HRV,2020,0.61
HRV,2021,0.71
CUB,2014,0.54
CUB,2015,0.64
CUB,2016,0.69
CUB,2017,0.65
CUB,2018,0.65
CUB,2019,0.6
CUB,2020,0.59
CUB,2021,0.43
CYP,2014,0.55
CYP,2015,0.55
CYP,2016,0.6
CYP,2017,0.54
CYP,2018,0.49
CYP,2019,0.56
CYP,2020,0.31
CYP,2021,0.44
CZE,2014,0.99
CZE,2015,0.98
CZE,2016,0.98
CZE,2017,1
CZE,2018,1.03
CZE,2019,0.94
CZE,2020,0.92
CZE,2021,0.96
PRK,2014,-1.13
PRK,2015,-1.15
PRK,2016,-0.68
PRK,2017,-0.5
PRK,2018,-0.35
PRK,2019,-0.32
PRK,2020,-0.41
PRK,2021,-0.45
COD,2014,-2.17
COD,2015,-2.15
COD,2016,-2.23
COD,2017,-2.3
COD,2018,-2.11
COD,2019,-1.59
COD,2020,-1.74
COD,2021,-1.61
DNK,2014,0.95
DNK,2015,0.9
DNK,2016,0.87
DNK,2017,0.87
DNK,2018,0.95
DNK,2019,1
DNK,2020,0.95
DNK,2021,0.95
DJI,2014,-0.77
DJI,2015,-0.44
DJI,2016,-0.63
DJI,2017,-0.74
DJI,2018,-0.14
DJI,2019,-0.35
DJI,2020,-0.45
DJI,2021,-0.71
DMA,2014,1.06
DMA,2015,1.08
DMA,2016,1
DMA,2017,1.2
DMA,2018,1.1
DMA,2019,1.07
DMA,2020,1.36
DMA,2021,1.39
DOM,2014,0.15
DOM,2015,0.24
DOM,2016,0.25
DOM,2017,0.16
DOM,2018,0.02
DOM,2019,0.01
DOM,2020,0.16
DOM,2021,0.14
ECU,2014,-0.02
ECU,2015,-0.14
ECU,2016,-0.09
ECU,2017,-0.07
ECU,2018,-0.09
ECU,2019,-0.23
ECU,2020,-0.27
ECU,2021,-0.27
EGY,2014,-1.63
EGY,2015,-1.5
EGY,2016,-1.44
EGY,2017,-1.42
EGY,2018,-1.18
EGY,2019,-1.11
EGY,2020,-1.17
EGY,2021,-1.02
SLV,2014,-0.02
SLV,2015,-0.02
SLV,2016,-0.1
SLV,2017,-0.26
SLV,2018,-0.39
SLV,2019,-0.11
SLV,2020,-0.12
SLV,2021,-0.21
GNQ,2014,-0.37
GNQ,2015,-0.21
GNQ,2016,-0.14
GNQ,2017,-0.17
GNQ,2018,-0.09
GNQ,2019,-0.16
GNQ,2020,-0.23
GNQ,2021,-0.29
ERI,2014,-0.81
ERI,2015,-0.88
ERI,2016,-0.66
ERI,2017,-0.73
ERI,2018,-0.61
ERI,2019,-0.7
ERI,2020,-0.98
ERI,2021,-1.01
EST,2014,0.78
EST,2015,0.62
EST,2016,0.67
EST,2017,0.65
EST,2018,0.59
EST,2019,0.63
EST,2020,0.72
EST,2021,0.76
SWZ,2014,-0.5
SWZ,2015,-0.48
SWZ,2016,-0.49
SWZ,2017,-0.27
SWZ,2018,-0.37
SWZ,2019,-0.27
SWZ,2020,-0.06
SWZ,2021,-0.03
ETH,2014,-1.34
ETH,2015,-1.5
ETH,2016,-1.62
ETH,2017,-1.68
ETH,2018,-1.28
ETH,2019,-1.31
ETH,2020,-1.76
ETH,2021,-2.07
FJI,2014,0.55
FJI,2015,0.58
FJI,2016,0.92
FJI,2017,0.62
FJI,2018,0.86
FJI,2019,0.78
FJI,2020,0.68
FJI,2021,0.67
FIN,2014,1.28
FIN,2015,1.04
FIN,2016,1
FIN,2017,1.08
FIN,2018,0.91
FIN,2019,0.85
FIN,2020,1.01
FIN,2021,0.98
FRA,2014,0.3
FRA,2015,0.11
FRA,2016,-0.1
FRA,2017,0.28
FRA,2018,0.03
FRA,2019,0.3
FRA,2020,0.32
FRA,2021,0.37
GAB,2014,0.15
GAB,2015,0.02
GAB,2016,-0.1
GAB,2017,-0.1
GAB,2018,-0.25
GAB,2019,-0.07
GAB,2020,-0.07
GAB,2021,-0.09
GMB,2014,-0.15
GMB,2015,0.02
GMB,2016,-0.43
GMB,2017,-0.08
GMB,2018,-0.07
GMB,2019,0.22
GMB,2020,0.26
GMB,2021,0.18
GEO,2014,-0.32
GEO,2015,-0.47
GEO,2016,-0.31
GEO,2017,-0.37
GEO,2018,-0.44
GEO,2019,-0.49
GEO,2020,-0.42
GEO,2021,-0.42
DEU,2014,0.93
DEU,2015,0.7
DEU,2016,0.68
DEU,2017,0.59
DEU,2018,0.59
DEU,2019,0.57
DEU,2020,0.68
DEU,2021,0.76
GHA,2014,-0.11
GHA,2015,-0.03
GHA,2016,-0.13
GHA,2017,0.09
GHA,2018,-0.03
GHA,2019,0.13
GHA,2020,0.18
GHA,2021,0.07
GRC,2014,-0.14
GRC,2015,-0.23
GRC,2016,-0.12
GRC,2017,-0.07
GRC,2018,0.17
GRC,2019,0.18
GRC,2020,0.13
GRC,2021,0.15
GRL,2014,1.92
GRL,2015,1.94
GRL,2016,1.97
GRL,2017,1.92
GRL,2018,1.93
GRL,2019,1.88
GRL,2020,1.91
GRL,2021,1.88
GRD,2014,0.77
GRD,2015,0.79
GRD,2016,1.02
GRD,2017,1.01
GRD,2018,0.99
GRD,2019,0.95
GRD,2020,1.04
GRD,2021,1.04
GTM,2014,-0.66
GTM,2015,-0.66
GTM,2016,-0.54
GTM,2017,-0.65
GTM,2018,-0.54
GTM,2019,-0.57
GTM,2020,-0.42
GTM,2021,-0.39
GIN,2014,-0.96
GIN,2015,-0.39
GIN,2016,-0.39
GIN,2017,-0.7
GIN,2018,-0.88
GIN,2019,-0.84
GIN,2020,-0.67
GIN,2021,-0.97
GNB,2014,-0.71
GNB,2015,-0.52
GNB,2016,-0.44
GNB,2017,-0.5
GNB,2018,-0.69
GNB,2019,-0.56
GNB,2020,-0.73
GNB,2021,-0.28
GUY,2014,-0.14
GUY,2015,-0.14
GUY,2016,-0.03
GUY,2017,-0.04
GUY,2018,-0.19
GUY,2019,-0.25
GUY,2020,-0.14
GUY,2021,-0.14
HTI,2014,-0.64
HTI,2015,-0.67
HTI,2016,-0.74
HTI,2017,-0.67
HTI,2018,-0.64
HTI,2019,-0.89
HTI,2020,-1.03
HTI,2021,-1.1
HND,2014,-0.53
HND,2015,-0.47
HND,2016,-0.43
HND,2017,-0.56
HND,2018,-0.53
HND,2019,-0.58
HND,2020,-0.47
HND,2021,-0.61
HUN,2014,0.67
HUN,2015,0.75
HUN,2016,0.65
