NAME,TIME,WATER
COM,2016,80.1
COM,2017,80.2
COM,2018,80.2
COM,2019,80.2
COG,2014,70.1
COG,2015,71.1
COG,2016,72.2
COG,2017,73.2
COG,2018,73.4
COG,2019,73.6
COG,2020,73.8
COK,2014,99
COK,2015,99
COK,2016,99
COK,2017,99
COK,2018,99
COK,2019,99
COK,2020,99
CRI,2014,99
CRI,2015,99
CRI,2016,99
CRI,2017,99
CRI,2018,99
CRI,2019,99
CRI,2020,99
CIV,2014,71.1
CIV,2015,71.1
CIV,2016,71
CIV,2017,71
CIV,2018,71
CIV,2019,70.9
CIV,2020,70.9
CUB,2014,95.6
CUB,2015,95.9
CUB,2016,96.1
CUB,2017,96.3
CUB,2018,96.5
CUB,2019,96.8
CUB,2020,97
CYP,2014,99
CYP,2015,99
CYP,2016,99
CYP,2017,99
CYP,2018,99
CYP,2019,99
CYP,2020,99
CZE,2014,99
CZE,2015,99
CZE,2016,99
CZE,2017,99
CZE,2018,99
CZE,2019,99
CZE,2020,99
PRK,2014,95.6
PRK,2015,95.2
PRK,2016,94.9
PRK,2017,94.5
PRK,2018,94.2
PRK,2019,93.8
PRK,2020,93.8
COD,2014,42.1
COD,2015,42.7
COD,2016,43.4
COD,2017,44
COD,2018,44.6
COD,2019,45.3
COD,2020,46
DNK,2014,99
DNK,2015,99
DNK,2016,99
DNK,2017,99
DNK,2018,99
DNK,2019,99
DNK,2020,99
DJI,2014,75.7
DJI,2015,75.8
DJI,2016,75.8
DJI,2017,75.9
DJI,2018,75.9
DJI,2019,76
DJI,2020,76
DMA,2014,95.4
DMA,2015,95.4
DMA,2016,95.4
DMA,2017,95.4
DOM,2014,95.8
DOM,2015,96.1
DOM,2016,96.4
DOM,2017,96.5
DOM,2018,96.5
DOM,2019,96.6
DOM,2020,96.7
ECU,2014,92.4
ECU,2015,93.1
ECU,2016,93.8
ECU,2017,94.3
ECU,2018,94.7
ECU,2019,95
ECU,2020,95.4
EGY,2014,99
EGY,2015,99
EGY,2016,99
EGY,2017,99
EGY,2018,99
EGY,2019,99
EGY,2020,99
SLV,2014,94.4
SLV,2015,95.6
SLV,2016,96.6
SLV,2017,97.2
SLV,2018,97.6
SLV,2019,97.8
SLV,2020,97.9
GNQ,2014,63.9
GNQ,2015,64.2
GNQ,2016,64.4
GNQ,2017,64.7
ERI,2014,51.1
ERI,2015,51.5
ERI,2016,51.8
EST,2014,99
EST,2015,99
EST,2016,99
EST,2017,99
EST,2018,99
EST,2019,99
EST,2020,99
SWZ,2014,65.8
SWZ,2015,66.7
SWZ,2016,67.6
SWZ,2017,68.6
SWZ,2018,69.7
SWZ,2019,70.7
SWZ,2020,70.8
ETH,2014,40.5
ETH,2015,42.1
ETH,2016,43.6
ETH,2017,45.1
ETH,2018,46.6
ETH,2019,48.1
ETH,2020,49.6
FJI,2014,94.3
FJI,2015,94.3
FJI,2016,94.3
FJI,2017,94.3
FJI,2018,94.3
FJI,2019,94.3
FJI,2020,94.3
FIN,2014,99
FIN,2015,99
FIN,2016,99
FIN,2017,99
FIN,2018,99
FIN,2019,99
FIN,2020,99
FRA,2014,99
FRA,2015,99
FRA,2016,99
FRA,2017,99
FRA,2018,99
FRA,2019,99
FRA,2020,99
PYF,2014,99
PYF,2015,99
PYF,2016,99
PYF,2017,99
PYF,2018,99
PYF,2019,99
PYF,2020,99
GAB,2014,83.5
GAB,2015,83.9
GAB,2016,84.2
GAB,2017,84.5
GAB,2018,84.9
GAB,2019,85.2
GAB,2020,85.3
GMB,2014,78.9
GMB,2015,79.2
GMB,2016,79.6
GMB,2017,79.9
GMB,2018,80.3
GMB,2019,80.6
GMB,2020,80.9
GEO,2014,95.6
GEO,2015,95.8
GEO,2016,96.4
GEO,2017,97
GEO,2018,97.1
GEO,2019,97.2
GEO,2020,97.3
DEU,2014,99
DEU,2015,99
DEU,2016,99
DEU,2017,99
DEU,2018,99
DEU,2019,99
DEU,2020,99
GHA,2014,79
GHA,2015,80.2
GHA,2016,81.3
GHA,2017,82.4
GHA,2018,83.5
GHA,2019,84.7
GHA,2020,85.8
GRC,2014,99
GRC,2015,99
GRC,2016,99
GRC,2017,99
GRC,2018,99
GRC,2019,99
GRC,2020,99
GRL,2014,99
GRL,2015,99
GRL,2016,99
GRL,2017,99
GRL,2018,99
GRL,2019,99
GRL,2020,99
GRD,2014,95.6
GRD,2015,95.6
GRD,2016,95.6
GRD,2017,95.6
GTM,2014,91.8
GTM,2015,92.1
GTM,2016,92.5
GTM,2017,92.9
GTM,2018,93.2
GTM,2019,93.6
GTM,2020,94
GIN,2014,63.5
GIN,2015,63.6
GIN,2016,63.7
GIN,2017,63.8
GIN,2018,63.9
GIN,2019,63.9
GIN,2020,64
GNB,2014,58.7
GNB,2015,58.8
GNB,2016,58.8
GNB,2017,58.9
GNB,2018,59
GNB,2019,59
GNB,2020,59
GUY,2014,94.7
GUY,2015,95.2
GUY,2016,95.5
GUY,2017,95.5
GUY,2018,95.5
GUY,2019,95.5
GUY,2020,95.6
HTI,2014,64.1
HTI,2015,64.6
HTI,2016,65
HTI,2017,65.5
HTI,2018,65.9
HTI,2019,66.3
HTI,2020,66.7
HND,2014,92.7
HND,2015,93.3
HND,2016,93.8
HND,2017,94.2
HND,2018,94.7
HND,2019,95.2
HND,2020,95.7
HUN,2014,99
HUN,2015,99
HUN,2016,99
HUN,2017,99
HUN,2018,99
HUN,2019,99
HUN,2020,99
ISL,2014,99
ISL,2015,99
ISL,2016,99
ISL,2017,99
ISL,2018,99
ISL,2019,99
ISL,2020,99
IND,2014,87.7
IND,2015,88.1
IND,2016,88.6
IND,2017,89.1
IND,2018,89.6
IND,2019,90
IND,2020,90.5
IDN,2014,87.7
IDN,2015,88.5
IDN,2016,89.3
IDN,2017,90.1
IDN,2018,90.9
IDN,2019,91.6
IDN,2020,92.4
IRN,2014,96.7
IRN,2015,96.8
IRN,2016,96.9
IRN,2017,97.1
IRN,2018,97.2
IRN,2019,97.4
IRN,2020,97.5
IRQ,2014,93.4
IRQ,2015,94.2
IRQ,2016,95.1
IRQ,2017,96
IRQ,2018,96.9
IRQ,2019,97.8
IRQ,2020,98.4
IRL,2014,97.4
IRL,2015,97.4
IRL,2016,97.4
IRL,2017,97.4
IRL,2018,97.4
IRL,2019,97.4
IRL,2020,97.4
ISR,2014,99
ISR,2015,99
ISR,2016,99
ISR,2017,99
ISR,2018,99
ISR,2019,99
ISR,2020,99
ITA,2014,99
ITA,2015,99
ITA,2016,99
ITA,2017,99
ITA,2018,99
ITA,2019,99
ITA,2020,99
JAM,2014,90.3
JAM,2015,90.4
JAM,2016,90.6
JAM,2017,90.7
JAM,2018,90.9
JAM,2019,91
JAM,2020,91
JPN,2014,98.9
JPN,2015,98.9
JPN,2016,99
JPN,2017,99
JPN,2018,99
JPN,2019,99
JPN,2020,99
JOR,2014,99
JOR,2015,99
JOR,2016,99
JOR,2017,99
JOR,2018,99
JOR,2019,99
JOR,2020,98.9
KAZ,2014,94.8
KAZ,2015,95
KAZ,2016,95.2
KAZ,2017,95.4
KAZ,2018,95.4
KAZ,2019,95.4
KAZ,2020,95.4
KEN,2014,57.5
KEN,2015,58.2
KEN,2016,58.9
KEN,2017,59.6
KEN,2018,60.3
KEN,2019,61
KEN,2020,61.6
KIR,2014,73
KIR,2015,73.8
KIR,2016,74.7
KIR,2017,75.5
KIR,2018,76.4
KIR,2019,77.2
KIR,2020,78
KWT,2014,99
KWT,2015,99
KWT,2016,99
KWT,2017,99
KWT,2018,99
KWT,2019,99
KWT,2020,99
KGZ,2014,87.8
KGZ,2015,88.4
KGZ,2016,89
KGZ,2017,89.6
KGZ,2018,90.2
KGZ,2019,90.7
KGZ,2020,91.7
LAO,2014,75.6
LAO,2015,77.5
LAO,2016,79.6
LAO,2017,81.5
LAO,2018,83.3
LAO,2019,85.1
LAO,2020,85.2
LVA,2014,98.5
LVA,2015,98.5
LVA,2016,98.6
LVA,2017,98.6
LVA,2018,98.7
LVA,2019,98.7
LVA,2020,98.8
LBN,2014,90.9
LBN,2015,91.2
LBN,2016,91.6
LBN,2017,91.9
LBN,2018,92.3
LBN,2019,92.6
LBN,2020,92.6
LSO,2014,70.2
LSO,2015,70.5
LSO,2016,70.9
LSO,2017,71.2
LSO,2018,71.5
LSO,2019,71.8
LSO,2020,72.2
LBR,2014,72
LBR,2015,72.6
LBR,2016,73.2
LBR,2017,73.7
LBR,2018,74.3
LBR,2019,75.2
LBR,2020,75.3
LBY,2014,96.4
LBY,2015,97.3
LBY,2016,98.2
LBY,2017,99
LBY,2018,99
LBY,2019,99
LBY,2020,99
LTU,2014,96.1
LTU,2015,96.6
LTU,2016,97.1
LTU,2017,97.5
LTU,2018,98
LTU,2019,98
LTU,2020,98
LUX,2014,99
LUX,2015,99
LUX,2016,99
LUX,2017,99
LUX,2018,99
LUX,2019,99
LUX,2020,99
MDG,2014,48
MDG,2015,48.9
MDG,2016,49.8
MDG,2017,50.7
MDG,2018,51.6
MDG,2019,52.5
MDG,2020,53.4
MWI,2014,65.4
MWI,2015,66.2
MWI,2016,66.9
MWI,2017,67.7
MWI,2018,68.5
MWI,2019,69.3
MWI,2020,70
MYS,2014,97
MYS,2015,97.1
MYS,2016,97.1
MYS,2017,97.1
MYS,2018,97.1
MYS,2019,97.1
MYS,2020,97.1
MDV,2014,98.5
MDV,2015,98.8
MDV,2016,99
MDV,2017,99
MDV,2018,99
MDV,2019,99
MDV,2020,99
MLI,2014,72.8
MLI,2015,74.4
MLI,2016,76
MLI,2017,77.7
MLI,2018,79.3
MLI,2019,80.9
MLI,2020,82.5
MLT,2014,99
MLT,2015,99
MLT,2016,99
MLT,2017,99
MLT,2018,99
MLT,2019,99
MLT,2020,99
MHL,2014,88.3
MHL,2015,88.3
MHL,2016,88.4
MHL,2017,88.5
MHL,2018,88.6
MHL,2019,88.6
MHL,2020,88.6
MRT,2014,65.1
MRT,2015,67
MRT,2016,68.8
MRT,2017,70.7
MRT,2018,71
MRT,2019,71.4
MRT,2020,71.7
MUS,2014,99
MUS,2015,99
MUS,2016,99
MUS,2017,99
MUS,2018,99
MUS,2019,99
MUS,2020,99
MEX,2014,97.6
MEX,2015,98
MEX,2016,98.5
MEX,2017,98.9
MEX,2018,99
MEX,2019,99
MEX,2020,99
FSM,2014,88.1
FSM,2015,88.3
FSM,2016,88.3
FSM,2017,88.3
FSM,2018,88.3
FSM,2019,88.3
MNG,2014,79.9
MNG,2015,80.8
MNG,2016,81.7
MNG,2017,82.7
MNG,2018,83.6
MNG,2019,84.5
MNG,2020,85.5
MNE,2014,97.1
MNE,2015,97.4
MNE,2016,97.6
MNE,2017,97.9
MNE,2018,98.5
MNE,2019,98.7
MNE,2020,98.9
MAR,2014,82.4
MAR,2015,83.8
MAR,2016,85.1
MAR,2017,86.5
MAR,2018,87.8
MAR,2019,89.1
MAR,2020,90.4
MOZ,2014,48.8
MOZ,2015,51.2
MOZ,2016,53.6
MOZ,2017,56
MOZ,2018,58.4
MOZ,2019,60.9
MOZ,2020,63.4
MMR,2014,71.6
MMR,2015,73.6
MMR,2016,75.6
MMR,2017,77.6
MMR,2018,79.6
MMR,2019,81.7
MMR,2020,83.7
NAM,2014,82.1
NAM,2015,82.5
NAM,2016,82.9
NAM,2017,83.3
NAM,2018,83.6
NAM,2019,84
NAM,2020,84.3
NRU,2014,99
NRU,2015,99
NRU,2016,99
NRU,2017,99
NRU,2018,99
NRU,2019,99
NRU,2020,99
NPL,2014,87.3
NPL,2015,87.8
NPL,2016,88.3
NPL,2017,88.7
NPL,2018,89.2
NPL,2019,89.6
NPL,2020,90.1
NLD,2014,99
NLD,2015,99
NLD,2016,99
NLD,2017,99
NLD,2018,99
NLD,2019,99
NLD,2020,99
NCL,2014,97.9
NCL,2015,98.1
NCL,2016,98.4
NCL,2017,98.6
NCL,2018,98.8
NCL,2019,99
NCL,2020,99
NZL,2014,99
NZL,2015,99
NZL,2016,99
NZL,2017,99
NZL,2018,99
NZL,2019,99
NZL,2020,99
NIC,2014,81.3
NIC,2015,81.4
NIC,2016,81.4
NIC,2017,81.4
NIC,2018,81.5
NIC,2019,81.6
NIC,2020,81.7
NER,2014,45.1
NER,2015,45.5
NER,2016,45.8
NER,2017,46.1
NER,2018,46.4
NER,2019,46.7
NER,2020,46.9
NGA,2014,67
NGA,2015,68.8
NGA,2016,70.5
NGA,2017,72.3
NGA,2018,74.1
NGA,2019,75.8
NGA,2020,77.6
NIU,2014,97.8
NIU,2015,97.6
NIU,2016,97.5
NIU,2017,97.3
NIU,2018,97.2
NIU,2019,97
NIU,2020,97
MKD,2014,97.4
MKD,2015,97.5
MKD,2016,97.5
MKD,2017,97.6
MKD,2018,97.6
MKD,2019,97.7
MKD,2020,97.7
NOR,2014,99
NOR,2015,99
NOR,2016,99
NOR,2017,99
NOR,2018,99
NOR,2019,99
NOR,2020,99
OMN,2014,89.8
OMN,2015,90.2
OMN,2016,90.7
OMN,2017,91.1
OMN,2018,91.5
OMN,2019,91.9
OMN,2020,92.2
PAK,2014,89.3
PAK,2015,89.5
PAK,2016,89.6
PAK,2017,89.7
PAK,2018,89.9
PAK,2019,90
PAK,2020,90.1
PLW,2014,99
PLW,2015,99
PLW,2016,99
PLW,2017,99
PLW,2018,99
PLW,2019,99
PLW,2020,99
PSE,2014,96.1
PSE,2015,96.4
PSE,2016,96.7
PSE,2017,97
PSE,2018,97.3
PSE,2019,97.6
PSE,2020,97.9
PAN,2014,92.5
PAN,2015,92.9
PAN,2016,93.2
PAN,2017,93.6
PAN,2018,93.9
PAN,2019,94.2
PAN,2020,94.4
PNG,2014,40.7
PNG,2015,41.5
PNG,2016,42.3
PNG,2017,43
PNG,2018,43.8
PNG,2019,44.6
PNG,2020,45.3
PRY,2014,95.6
PRY,2015,96.8
PRY,2016,98.1
PRY,2017,99
PRY,2018,99
PRY,2019,99
PRY,2020,99
PER,2014,89.7
PER,2015,90.3
PER,2016,90.9
PER,2017,91.4
PER,2018,92
PER,2019,92.6
PER,2020,93.1
PHL,2014,91.6
PHL,2015,92
PHL,2016,92.4
PHL,2017,92.9
PHL,2018,93.3
PHL,2019,93.7
PHL,2020,94.1
POL,2014,99
POL,2015,99
POL,2016,99
POL,2017,99
POL,2018,99
POL,2019,99
POL,2020,99
PRT,2014,99
PRT,2015,99
PRT,2016,99
PRT,2017,99
PRT,2018,99
PRT,2019,99
PRT,2020,99
PRI,2014,99
PRI,2015,99
PRI,2016,99
PRI,2017,99
PRI,2018,99
PRI,2019,99
PRI,2020,99
QAT,2014,99
QAT,2015,99
QAT,2016,99
QAT,2017,99
QAT,2018,99
QAT,2019,99
QAT,2020,99
KOR,2014,99
KOR,2015,99
KOR,2016,99
KOR,2017,99
KOR,2018,99
KOR,2019,99
KOR,2020,99
MDA,2014,88.2
MDA,2015,88.6
MDA,2016,89
MDA,2017,89.4
MDA,2018,89.8
MDA,2019,90.2
MDA,2020,90.6
ROU,2014,99
ROU,2015,99
ROU,2016,99
ROU,2017,99
ROU,2018,99
ROU,2019,99
ROU,2020,99
RUS,2014,96.4
RUS,2015,96.5
RUS,2016,96.6
RUS,2017,96.7
RUS,2018,96.8
RUS,2019,96.9
RUS,2020,97
RWA,2014,56.3
