NAME,TIME,RISK
JPN,2019,2.3
KAZ,2019,1.8
KEN,2019,5.9
KGZ,2019,3.1
KHM,2019,4.4
KNA,2019,1.8
KOR,2019,2
LAO,2019,4.6
LBN,2019,4.6
LCA,2019,2.3
LKA,2019,3.6
LSO,2019,3.8
MAR,2019,3.6
MDA,2019,2.7
MDG,2019,5.2
MDV,2019,2.6
MEX,2019,5.1
MHL,2019,4.3
MKD,2019,2.3
MLI,2019,6.3
MMR,2019,6.2
MNE,2019,2.4
MNG,2019,3
MOZ,2019,6.1
MRT,2019,5.1
MUS,2019,2.1
MWI,2019,4.6
MYS,2019,3.1
NAM,2019,3.9
NER,2019,6.5
NGA,2019,6.6
NIC,2019,5.2
NLD,2019,1.4
NOR,2019,1.1
NPL,2019,4.5
NRU,2019,3.1
NZL,2019,1.5
PAK,2019,6.2
PAN,2019,3.4
PER,2019,4.4
PHL,2019,5.5
PLW,2019,2.5
PNG,2019,5.6
POL,2019,1.7
PRT,2019,1.5
PRY,2019,2.5
PSE,2019,5.2
QAT,2019,1.4
ROU,2019,2.3
RWA,2019,4.8
SDN,2019,7
SEN,2019,4.2
SGP,2019,0.5
SLB,2019,4.5
SLE,2019,4.4
SLV,2019,3.8
SRB,2019,2.9
SVK,2019,1.5
SVN,2019,1.2
SWE,2019,1.5
SWZ,2019,3.4
SYC,2019,1.8
SYR,2019,7
TGO,2019,4
THA,2019,4.2
TJK,2019,4.1
TLS,2019,4
TON,2019,3.8
TTO,2019,2.7
TUN,2019,2.8
TUR,2019,5
TZA,2019,5.4
URY,2019,1.7
USA,2019,3.4
UZB,2019,2.9
VEN,2019,4.6
VNM,2019,3.6
VUT,2019,4.1
WSM,2019,3
YEM,2019,8.2
ZAF,2019,4.2
ZMB,2019,4.2
ZWE,2019,4.5
ALB,2019,2.8
AZE,2019,4.3
BEL,2019,1.7
BHS,2019,2.2
BIH,2019,3.4
CAF,2019,8.5
COG,2019,5.1
CYP,2019,2.9
DMA,2019,3.8
ERI,2019,4.2
EST,2019,0.9
GNQ,2019,3.8
GUY,2019,3.1
IRL,2019,1.4
ISL,2019,1.2
ISR,2019,2.3
KWT,2019,1.8
LBR,2019,4.8
LBY,2019,6.2
LTU,2019,1.3
LUX,2019,0.9
LVA,2019,1.5
MLT,2019,1.8
OMN,2019,2.5
PRK,2019,4.8
RUS,2019,3.9
SAU,2019,2.2
SOM,2019,8.7
SSD,2019,8.1
STP,2019,2.6
SUR,2019,3
TCD,2019,7.2
TKM,2019,2.4
UGA,2019,6.2
UKR,2019,4.6
VCT,2019,2.2
BLZ,2019,3.8
KIR,2019,3.8
LIE,2019,0.9
TUV,2019,3.4
AFG,2017,8
AGO,2017,4.9
ARE,2017,1.7
ARG,2017,2.4
ARM,2017,3.2
ATG,2017,2.2
AUS,2017,2.2
AUT,2017,1.8
BDI,2017,5.9
BEN,2017,3.7
BFA,2017,4.7
BGD,2017,5.8
BGR,2017,2.5
BHR,2017,1.3
BLR,2017,1.5
BOL,2017,3.7
BRA,2017,4.2
BRB,2017,2
BRN,2017,1.8
BTN,2017,3.3
BWA,2017,3
CAN,2017,2.3
CHE,2017,1.4
CHL,2017,2.7
CHN,2017,4
CIV,2017,4.7
CMR,2017,6.4
COD,2017,7.3
COL,2017,5.4
COM,2017,3.7
CPV,2017,2.3
CRI,2017,2.8
CUB,2017,2.4
CZE,2017,1.2
DEU,2017,2
DJI,2017,5
DNK,2017,1.1
DOM,2017,4.1
DZA,2017,4.1
ECU,2017,4.2
EGY,2017,4.8
ESP,2017,1.9
ETH,2017,6.3
FIN,2017,0.9
FJI,2017,2.9
FRA,2017,2.5
FSM,2017,4.3
GAB,2017,3.1
GBR,2017,1.7
GEO,2017,3.3
GHA,2017,3.7
GIN,2017,4.4
GMB,2017,3.6
GNB,2017,4.2
GRC,2017,2.8
GRD,2017,1.8
GTM,2017,5
HND,2017,4.9
HRV,2017,2.1
HTI,2017,6.1
HUN,2017,1.9
IDN,2017,4.2
IND,2017,5.5
IRN,2017,4.9
IRQ,2017,6.9
ITA,2017,2.5
JAM,2017,3.2
JOR,2017,4.4
JPN,2017,2.2
KAZ,2017,1.8
KEN,2017,6
KGZ,2017,3.1
KHM,2017,4.8
KNA,2017,1.9
KOR,2017,1.9
LAO,2017,4.1
LBN,2017,5.5
LCA,2017,2.6
LKA,2017,3.7
LSO,2017,3.9
MAR,2017,3.6
MDA,2017,2.8
MDG,2017,5.2
MDV,2017,2.5
MEX,2017,5.1
MHL,2017,4.3
MKD,2017,2.5
MLI,2017,5.8
MMR,2017,6.8
MNE,2017,2.4
MNG,2017,3
MOZ,2017,6
MRT,2017,4.9
MUS,2017,2.1
MWI,2017,4.8
MYS,2017,3.1
NAM,2017,3.9
NER,2017,7.3
NGA,2017,6.5
NIC,2017,4.2
NLD,2017,1.4
NOR,2017,1
NPL,2017,4.9
NRU,2017,3.2
NZL,2017,1.5
PAK,2017,6.6
PAN,2017,3.6
PER,2017,4.2
PHL,2017,5.5
PLW,2017,2.5
PNG,2017,5.7
POL,2017,1.7
PRT,2017,1.5
PRY,2017,2.5
PSE,2017,4.3
QAT,2017,1.6
ROU,2017,2.3
RWA,2017,4.6
SDN,2017,7.1
SEN,2017,4.3
SGP,2017,0.6
SLB,2017,4.6
SLE,2017,4.5
SLV,2017,4.5
SRB,2017,3
SVK,2017,1.6
SVN,2017,1.2
SWE,2017,1.5
SWZ,2017,3.4
SYC,2017,2.1
SYR,2017,7.1
TGO,2017,4.1
THA,2017,4.1
TJK,2017,4
TLS,2017,4.3
TON,2017,3.6
TTO,2017,2.1
TUN,2017,3.1
TUR,2017,5
TZA,2017,5
URY,2017,1.6
USA,2017,3.6
UZB,2017,2.9
VEN,2017,4.6
VNM,2017,3.6
VUT,2017,4.5
WSM,2017,2.9
YEM,2017,8
ZAF,2017,4.1
ZMB,2017,4.2
ZWE,2017,4.5
ALB,2017,3.1
AZE,2017,4.6
BEL,2017,1.6
BHS,2017,2.1
BIH,2017,3.5
CAF,2017,7.8
COG,2017,5.1
CYP,2017,3
DMA,2017,3.6
ERI,2017,4.3
EST,2017,1
GNQ,2017,3.8
GUY,2017,3.6
IRL,2017,1.4
ISL,2017,1.1
ISR,2017,2.3
KWT,2017,1.9
LBR,2017,4.9
LBY,2017,6.3
LTU,2017,1.2
LUX,2017,1
LVA,2017,1.5
MLT,2017,1.8
OMN,2017,2.6
PRK,2017,5.2
RUS,2017,4.3
SAU,2017,2.7
SOM,2017,8.8
SSD,2017,8.9
STP,2017,2.5
SUR,2017,3
TCD,2017,7.8
TKM,2017,2.4
UGA,2017,6.4
UKR,2017,5.4
VCT,2017,2.4
BLZ,2017,3.9
KIR,2017,4.1
LIE,2017,0.9
TUV,2017,3.7
AFG,2014,8.2
AGO,2014,4.4
ARG,2014,2.4
ARM,2014,3.3
ATG,2014,2.5
AUS,2014,2.2
BDI,2014,5.4
BFA,2014,4.3
BGD,2014,5.8
BGR,2014,2.5
BHR,2014,1.5
BLR,2014,1.6
BOL,2014,3.7
BRA,2014,3.9
BRB,2014,2.1
BRN,2014,1.7
BTN,2014,3.6
BWA,2014,3.1
CAN,2014,2.4
CHE,2014,1.4
CHL,2014,2.6
CHN,2014,4
CIV,2014,4.7
